"team","country","overall_points_team","status","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"Silkeborg IF","Denmark",0,"not out",0,,":dk:","Denmark: 0 points",,,
"Sivasspor","Turkey",0,"not out",0,,":tr:","Turkey: 0 points","Sivas 4 Eylül Stadium",39.728612,36.984065
"SJK Seinäjoki","Finland",0.25,"not out",1.125,22.2,":fi:","Finland: 1.125 points","OmaSp Stadion",62.778469444,22.815588888
"Slavia Praha","Czech Republic",0,"not out",0,,":cz:","Czech Republic: 0 points","Sinobo Stadium",50.066944,14.471389
"Sligo Rovers","Ireland",0.25,"not out",0.625,40,":ie:","Ireland: 0.625 points","The Showgrounds",54.270042,-8.487233
"Slovan Bratislava","Slovakia",0.375,"not out",1.25,30,":sk:","Slovakia: 1.25 points","Štadión Pasienky",48.166111,17.141111
"Sparta Praha","Czech Republic",0,"not out",0,,":cz:","Czech Republic: 0 points","Letná Stadium",50.099716,14.416122
"Spartak Trnava","Slovakia",0,"not out",1.25,0,":sk:","Slovakia: 1.25 points","Štadión Antona Malatinského",48.373333,17.591667
"Sporting Braga","Portugal",0,"not out",1.333,0,":pt:","Portugal: 1.333 points","Estádio Municipal de Braga",41.5624,-8.4308
"Sporting CP Lisbon","Portugal",0.667,"not out",1.333,50,":pt:","Portugal: 1.333 points","Estádio José Alvalade",38.761194444,-9.160783333
"St Joseph's FC","Gibraltar",0.375,"not out",0.875,42.9,":gi:","Gibraltar: 0.875 points","Victoria Stadium",36.149356,-5.350342
"St. Patrick's Athletic","Ireland",0,"not out",0.625,0,":ie:","Ireland: 0.625 points","Richmond Park",53.340922,-6.316619
"Stade Rennais","France",0,"not out",1.333,0,":fr:","France: 1.333 points","Roazhon Park",48.107472222,-1.712861111
"Sturm Graz","Austria",0,"not out",0.8,0,":at:","Austria: 0.8 points","Merkur Arena",47.046111,15.454444
"Suduva Marijampole","Lithuania",0,"not out",0.625,0,":lt:","Lithuania: 0.625 points","ARVI Football Arena",54.574547,23.365392
"Sutjeska Niksic","Montenegro",0,"not out",0.625,0,":me:","Montenegro: 0.625 points","Gradski stadion",42.784947,18.953731
"The New Saints","Wales",0.333,"not out",1,33.3,":gb-wls:","Wales: 1 points","Park Hall",52.8759,-3.02631
"Tobol Kustanai","Kazakhstan",0.125,"not out",0.125,100,":kz:","Kazakhstan: 0.125 points","Kostanay Central Stadium",53.225974,63.636578
"Tottenham Hotspur","England",0.571,"not out",2.286,25,":gb-eng:","England: 2.286 points","Tottenham Hotspur Stadium",51.604444444,-0.066388888
"Trabzonspor","Turkey",0,"not out",0,,":tr:","Turkey: 0 points","Senol Günes Stadium",40.9987,39.6463
"Tre Fiori","San Marino",0.667,"not out",0.667,100,":sm:","San Marino: 0.667 points","Stadio Olimpico",43.97125,12.476972
"Tre Penne","San Marino",0,"out",0.667,0,":sm:","San Marino: 0.667 points","Stadio Fonte dell'Ovo",43.9296,12.4427
"Tuzla City","Bosnia-Herzegovina",0.5,"not out",0.875,57.1,":ba:","Bosnia-Herzegovina: 0.875 points",,,
"UE Santa Coloma","Andorra",0,"out",0.5,0,":ad:","Andorra: 0.5 points","Estadi Comunal d'Aixovall",42.476389,1.487667
"Union Berlin","Germany",0,"not out",2.5,0,":de:","Germany: 2.5 points","Stadion An der Alten Försterei",52.457222,13.568056
"Union Saint-Gilloise","Belgium",0,"not out",0.8,0,":be:","Belgium: 0.8 points",,,
"Universitatea Craiova","Romania",0,"not out",0.25,0,":ro:","Romania: 0.25 points","Stadionul Ion Oblemenco",44.313889,23.784167
"Valmieras FK","Latvia",0,"not out",1,0,":lv:","Latvia: 1 points","Örjans Vall",56.684166666,12.866388888
"Velez Mostar","Bosnia-Herzegovina",0,"not out",0.875,0,":ba:","Bosnia-Herzegovina: 0.875 points","Stadion pod Bijelim Brijegom",43.345556,17.795278
"Viborg FF","Denmark",0,"not out",0,,":dk:","Denmark: 0 points",,,
"Viking Stavanger","Norway",0,"not out",0.25,0,":no:","Norway: 0.25 points","Viking Stadion",58.914611,5.730442
"Víkingur","Faroe Islands",0.5,"not out",1.25,40,":fo:","Faroe Islands: 1.25 points","Víkingsvöllur",64.117222,-21.852778
"Vikingur Reykjavik","Iceland",0.833,"not out",1.833,45.5,":is:","Iceland: 1.833 points","KR-völlur",64.145683,-21.967728
"Viktoria Plzen","Czech Republic",0,"not out",0,,":cz:","Czech Republic: 0 points","Doosan Arena",49.75,13.385556
"Villarreal","Spain",0,"not out",2.286,0,":es:","Spain: 2.286 points","Estadio de la Cerámica",39.944167,-0.103611
"Vitória Guimarães","Portugal",0,"not out",1.333,0,":pt:","Portugal: 1.333 points","Afonso Henriques Stadium",41.445833,-8.301111
"Vllaznia Shkodër","Albania",0,"not out",0.625,0,":al:","Albania: 0.625 points","Loro Boriçi Stadium",42.070031,19.506558
"Vorskla Poltava","Ukraine",0,"not out",0.8,0,":ua:","Ukraine: 0.8 points","Oleksiy Butovskyi Vorskla Stadium",49.594833,34.549444
"West Ham United","England",0,"not out",2.286,0,":gb-eng:","England: 2.286 points","London Stadium",51.538611111,-0.016388888
"Wolfsberger AC","Austria",0,"not out",0.8,0,":at:","Austria: 0.8 points","Lavanttal-Arena",46.8253,14.8514
"Young Boys","Switzerland",0,"not out",0,,":ch:","Switzerland: 0 points","Stadion Wankdorf",46.962778,7.465
"Zalgiris Vilnius","Lithuania",0.375,"not out",0.625,60,":lt:","Lithuania: 0.625 points","LFF Stadium",54.668611,25.294444
"Zira FK","Azerbaijan",0,"not out",0.25,0,":az:","Azerbaijan: 0.25 points","Zira Olympic Sport Complex Stadium",40.35892,50.29311
"Zorya Luhansk","Ukraine",0,"not out",0.8,0,":ua:","Ukraine: 0.8 points","Avanhard Stadium",48.559444,39.321111
"Zrinjski Mostar","Bosnia-Herzegovina",0.125,"not out",0.875,14.3,":ba:","Bosnia-Herzegovina: 0.875 points","Stadion pod Bijelim Brijegom",43.345556,17.795278
